id;date;feat1;feat2;feat3;feat4;feat5;feat6;feat7;feat8;feat9;feat10;feat11;feat12;feat13;feat14;feat15;feat16;feat17;feat18;feat19;feat20;feat21;feat22;feat23;feat24;feat25;feat26;feat27;feat28;feat29;target;target2
31;26.03.2022;;;;;;1;0,5;1118;1024;44;;;;800;593;;2;2;;BACCALAUREATE_AUTONOMIC;30;2;3;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;1;6569
32;09.04.2022;0;15000;AUTONOMIC;8000;66;2;0,666666667;199;1920;32;;;0;2000;;;;;;BACCALAUREATE_AUTONOMIC;21;3;14;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;6956
33;12.03.2022;1;18000;FULL_TIME;10000;31;0;0;864;;62;;;;;14;;;1;;UNIVERSITY_FULL_TIME;28;1;14;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8689
34;20.04.2022;0;6200;FULL_TIME;0;21;0;0;563;472;97;;;;4500;;;313;2;;BASIC_EDUCATION_FULL_TIME;21;2;41;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3358
35;25.04.2022;0;5000;FULL_TIME;1500;36;4;0,8;719;3601;60;;;;2875;22;;156;16;;BACCALAUREATE_FULL_TIME;28;5;9;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9558
36;14.03.2022;1;12500;PART_TIME;2500;20;0;0;6;1430;79;;;;1265;;;6;1;;BACCALAUREATE_PART_TIME;15;1;1;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3781
37;11.03.2022;0;20000;FULL_TIME;10000;37;2;0,666666667;80;0;48;;;0;0;;;80;21;;UNIVERSITY_FULL_TIME;20;3;16;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;1;7100
38;07.02.2022;1;7600;FULL_TIME;3000;23;0;0;1178;;40;;;0;;355;;90;90;;BACCALAUREATE_FULL_TIME;30;1;14;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3578
39;22.02.2022;0;20000;FULL_TIME;11000;37;2;0,666666667;49;5123;13;;;;10949;760;;49;10;;BASIC_EDUCATION_FULL_TIME;30;3;14;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-600
40;22.05.2022;;;;;;0;0;18;611;27;;;;611;;;18;18;;UNIVERSITY_FULL_TIME;18;1;14;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-3003
41;19.05.2022;1;10500;FULL_TIME;7000;23;0;0;1316;0;26;;;190;1610;722;;18;4;;BACCALAUREATE_FULL_TIME;18;1;13;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;4511
42;24.03.2022;1;12000;FULL_TIME;5000;27;3;0,75;1429;0;46;15232;;50;6063;70;;59;1;;UNIVERSITY_FULL_TIME;15;4;16;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2440
43;01.02.2022;0;8900;FULL_TIME;2100;25;3;0,75;989;1549;16;3411;;0;6450;225;;60;14;86;BACCALAUREATE_FULL_TIME;20;4;9;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;1033
44;24.02.2022;0;7600;FULL_TIME;3500;23;0;0;221;710;50;;;;3609;;;221;1;;UNIVERSITY_FULL_TIME;14;1;2;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;7375
45;16.03.2022;0;12000;AUTONOMIC;9000;23;0;0;109;0;37;;;;;;;;10;;UNIVERSITY_AUTONOMIC;7;1;15;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;307
46;17.01.2022;0;8500;FULL_TIME;800;32;0;0;150;5328;91;5772;;0;500;457;;150;21;47;UNIVERSITY_FULL_TIME;7;1;22;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3328
47;29.05.2022;1;6000;AUTONOMIC;3000;30;0;0;1091;814;24;;;14;5796;;;;102;;BACCALAUREATE_AUTONOMIC;30;1;1;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;6693
48;10.01.2022;1;8000;FULL_TIME;2000;41;2;0,666666667;1388;1152;98;1000;;0;9197;450;;21;21;27;BACCALAUREATE_FULL_TIME;7;3;7;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;2739
49;15.01.2022;0;9000;AUTONOMIC;4000;19;1;0,5;4;0;96;;;3;0;;;4;4;;BACCALAUREATE_AUTONOMIC;7;2;0;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;6739
50;04.01.2022;0;12000;AUTONOMIC;6000;27;0;0;1195;0;55;;;38;800;833;;286;2;;BACCALAUREATE_AUTONOMIC;30;11;87;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3622
51;01.04.2022;;;;;;1;0,5;35;289;100;;;;2000;386;;35;35;;UNIVERSITY_FULL_TIME;12;2;1;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-4203
52;23.02.2022;1;6200;PART_TIME;2500;20;0;0;572;1800;84;21100;;111;8534;107;;;;;UNIVERSITY_PART_TIME;30;1;14;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8769
53;14.04.2022;1;12000;FULL_TIME;3000;41;1;0,5;1431;0;27;;;;1274;151;;273;13;;BACCALAUREATE_FULL_TIME;30;2;11;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9476
54;14.01.2022;0;17500;FULL_TIME;2500;32;0;0;666;38;63;;;;34;514;;127;4;;UNIVERSITY_FULL_TIME;16;1;14;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;742
55;12.03.2022;;;;;;2;0,666666667;912;640;51;1600;;0;1600;97;;;112;;BACCALAUREATE_PART_TIME;28;3;8;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-1994
56;30.05.2022;0;12000;MILITARY;3000;38;1;0,5;1399;259;inf;;;;644;;;;;;BACCALAUREATE_MILITARY;15;2;7;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;204
57;12.04.2022;1;18900;FULL_TIME;5000;31;1;0,5;1336;0;62;5000;;41;1430;484;;103;16;19;UNIVERSITY_FULL_TIME;14;2;29;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;1775
58;30.04.2022;;;;;;0;0;495;750;2;;;;;;;;;;UNIVERSITY_FULL_TIME;28;1;12;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-458
59;27.05.2022;0;7200;FULL_TIME;3000;25;0;0;91;0;74;909;;;1198;14;;91;1;14;BACCALAUREATE_FULL_TIME;28;1;15;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;1;772
60;13.03.2022;1;10000;FULL_TIME;3000;35;1;0,5;;7092;9;;;;7092;;;;;;BACCALAUREATE_FULL_TIME;14;2;11;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;277
61;04.02.2022;0;8000;FULL_TIME;5000;23;0;0;799;67;41;;;;5200;;;168;1;;BASIC_EDUCATION_FULL_TIME;21;1;13;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-4171
62;13.05.2022;1;5500;PART_TIME;2100;29;4;0,8;1174;970;15;26752;;98;;385;;;2;;BASIC_EDUCATION_PART_TIME;18;5;37;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3946
63;14.01.2022;1;9000;FULL_TIME;2000;38;0;0;12;0;53;;;;200;;;12;4;;UNIVERSITY_FULL_TIME;30;1;21;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;1;4002
64;17.05.2022;1;6000;PART_TIME;2000;27;1;0,5;972;;38;;;89;;340;;;225;;BACCALAUREATE_PART_TIME;30;2;9;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3565
65;07.05.2022;0;15200;FULL_TIME;15000;31;0;0;1050;2400;49;;;;2185;;;86;27;;UNIVERSITY_FULL_TIME;21;1;9;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3439
66;02.01.2022;0;12000;AUTONOMIC;8000;50;5;0,833333333;141;1713;93;1446;;0;5658;270;;141;13;34;BACCALAUREATE_AUTONOMIC;30;6;14;-0,942260922;-0,334879612;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3982
67;05.03.2022;;;;;;7;0,875;35;0;32;;;;1495;;;35;4;;BACCALAUREATE_FULL_TIME;21;8;12;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;1;9705
68;09.03.2022;0;7000;FULL_TIME;1200;37;1;0,5;1401;713;49;535;;80;2510;230;;24;24;;BACCALAUREATE_FULL_TIME;21;2;30;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9344
69;09.02.2022;0;12000;FULL_TIME;2000;28;0;0;;;43;;;;;;;;;;UNIVERSITY_FULL_TIME;20;1;9;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1151
70;11.01.2022;1;8000;FULL_TIME;2500;36;0;0;803;1768;8;4600;;;1495;194;;304;13;194;UNIVERSITY_FULL_TIME;14;1;8;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;2134
71;09.04.2022;1;9350;FULL_TIME;3000;56;2;0,5;194;2074;11;;4837;562;4000;696;;194;6;;BACCALAUREATE_FULL_TIME;16;4;8;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8022
72;15.04.2022;0;7000;FULL_TIME;4500;29;2;0,666666667;929;299;26;;;;602;;;179;1;;BACCALAUREATE_FULL_TIME;10;3;13;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3769
73;01.02.2022;0;10520;FULL_TIME;8000;44;1;0,333333333;;1995;59;;;;1995;;;;;;UNIVERSITY_FULL_TIME;15;3;21;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2868
74;18.03.2022;0;10000;FULL_TIME;5000;24;2;0,666666667;140;856;80;;;;2300;;;140;8;;BASIC_EDUCATION_FULL_TIME;30;3;16;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9585
75;24.05.2022;1;13000;FULL_TIME;2000;47;0;0;1405;0;75;;;;0;;;350;2;;UNIVERSITY_FULL_TIME;18;1;13;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;526
76;14.03.2022;1;8000;FULL_TIME;5000;50;2;0,666666667;1108;640;33;;;29;787;;;71;14;;BASIC_EDUCATION_FULL_TIME;30;3;13;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;2728
77;13.03.2022;1;8700;FULL_TIME;4500;23;0;0;1251;1112;22;;;;3300;49;;306;10;;BACCALAUREATE_FULL_TIME;30;1;9;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8558
78;17.05.2022;1;19000;FULL_TIME;2000;32;1;0,5;1208;109;62;;;;187;;;82;21;;UNIVERSITY_FULL_TIME;30;2;9;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3582
79;06.04.2022;0;15000;FULL_TIME;5000;28;0;0;1129;5500;95;5000;;;6050;16;;346;3;25;BACCALAUREATE_FULL_TIME;18;1;15;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2597
80;03.03.2022;1;8000;FULL_TIME;5000;33;7;0,875;1395;1800;58;;;;1500;;;245;1;;BACCALAUREATE_FULL_TIME;30;8;16;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;1188
81;16.04.2022;1;15000;PENSIONER;500;60;2;0,666666667;752;1113;80;;;22;1325;440;;;17;;BACCALAUREATE_PENSIONER;21;3;36;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;214
82;28.01.2022;0;9500;AUTONOMIC;1300;25;13;0,928571429;84;750;37;2625;;;750;357;;;3;;BACCALAUREATE_AUTONOMIC;14;14;2;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;2623
83;20.02.2022;;;;;;0;0;649;518;41;4000;;102;8000;114;;286;102;87;BACCALAUREATE_FULL_TIME;15;1;16;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-176
84;04.03.2022;0;15000;AUTONOMIC;7000;35;5;0,833333333;423;2436;24;1300;;4;2100;20;;72;3;11;BACCALAUREATE_AUTONOMIC;15;6;19;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3298
85;12.01.2022;0;25400;FULL_TIME;250;34;2;0,666666667;1362;438;48;;;0;7500;466;;91;1;;UNIVERSITY_FULL_TIME;7;3;26;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;7989
86;23.03.2022;1;50000;AUTONOMIC;10000;50;1;0,5;216;103;85;10200;;;5992;24;;216;1;22;UNIVERSITY_AUTONOMIC;18;2;30;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1311
87;06.01.2022;;;;;;4;0,8;699;1972;87;;;170;1610;440;;226;7;;BACCALAUREATE_FULL_TIME;30;5;11;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-351
88;03.02.2022;1;9000;FULL_TIME;3000;29;7;0,875;155;400;87;2535;;85;1800;205;;155;9;33;BACCALAUREATE_FULL_TIME;30;8;17;-0,997668769;-0,068242413;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-4115
89;18.03.2022;1;8000;AUTONOMIC;6000;34;3;0,75;1451;0;46;39424;;123;6320;263;;129;2;;BACCALAUREATE_AUTONOMIC;30;4;15;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;6340
90;15.02.2022;1;19000;RETIRED;6000;68;0;0;697;1521;58;;;;1150;313;;196;15;;UNIVERSITY_RETIRED;28;1;13;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8467
91;25.02.2022;0;12500;FULL_TIME;1500;26;0;0;85;0;75;31857;;122;9000;70;;85;23;;BACCALAUREATE_FULL_TIME;15;1;21;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;7973
92;11.02.2022;1;8000;FULL_TIME;6000;31;1;0,5;1236;3242;78;;;0;13000;348;;320;1;;BASIC_EDUCATION_FULL_TIME;30;2;11;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;7961
93;27.02.2022;0;13000;FULL_TIME;0;26;2;0,666666667;101;1425;65;;;;5500;;;101;1;;BACCALAUREATE_FULL_TIME;30;3;15;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1861
94;08.03.2022;;;;;;7;0,875;906;1014;94;;;;1000;335;;204;21;;UNIVERSITY_FULL_TIME;28;8;15;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;1;2243
95;08.04.2022;;;;;;0;0;;980;84;;;0;1040;;;;;;UNIVERSITY_FULL_TIME;28;1;23;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;1;6546
96;10.05.2022;1;8200;FULL_TIME;1300;23;2;0,666666667;884;284;16;6190;;299;439;345;;323;2;;UNIVERSITY_FULL_TIME;30;15;210;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8083
97;09.03.2022;1;18000;FULL_TIME;9000;34;1;0,5;1123;2176;2;;;0;1700;291;;62;17;;UNIVERSITY_FULL_TIME;21;2;16;-0,979084088;0,203456013;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2088
98;13.05.2022;0;7500;FULL_TIME;4000;30;0;0;131;;8;900;;;;72;;131;27;72;BASIC_EDUCATION_FULL_TIME;30;1;13;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3749
99;19.05.2022;;;;;;1;0,5;33;546;78;;;;546;;;33;1;;UNIVERSITY_FULL_TIME;15;2;2;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-3318
100;14.04.2022;0;6000;FULL_TIME;4000;35;3;0,75;1085;2061;26;1495;;;1495;303;;40;11;30;BACCALAUREATE_FULL_TIME;30;4;19;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;4351
101;15.04.2022;0;10000;AUTONOMIC;3000;42;4;0,8;88;600;30;;;;4805;580;;88;13;;BACCALAUREATE_AUTONOMIC;15;5;17;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9122
102;02.04.2022;;;;;;2;0,666666667;661;300;24;;;;472;1156;;59;12;;UNIVERSITY_FULL_TIME;30;3;22;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;1;2208
103;18.04.2022;0;6500;FULL_TIME;5000;60;1;0,5;1316;1130;76;;;74;11000;93;;249;22;;BACCALAUREATE_FULL_TIME;18;2;12;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3352
104;01.02.2022;0;35000;AUTONOMIC;1900;25;1;0,5;912;1883;81;2410;;;5175;297;;331;1;43;UNIVERSITY_AUTONOMIC;30;2;16;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1772
105;17.05.2022;1;15000;FULL_TIME;0;49;1;0,5;695;1064;16;;;9;3902;559;;;3;;UNIVERSITY_FULL_TIME;7;2;2;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;4863
106;07.01.2022;1;8000;AUTONOMIC;1500;31;4;0,8;931;355;57;;;0;;1226;;68;68;;UNIVERSITY_AUTONOMIC;18;5;16;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8256
107;03.04.2022;0;10000;AUTONOMIC;8000;24;1;0,5;372;19;21;;;0;199;757;;303;6;;UNIVERSITY_AUTONOMIC;30;2;15;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9013
108;11.05.2022;;;;;;2;0,666666667;962;1300;71;;;;15002;623;;9;4;;BASIC_EDUCATION_FULL_TIME;15;3;14;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-855
109;03.03.2022;;;;;;7;0,875;466;863;98;300;;;1035;319;;76;5;125;BACCALAUREATE_FULL_TIME;30;8;12;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;1;5951
110;22.04.2022;1;15000;FULL_TIME;2000;35;2;0,666666667;1253;699;92;;;26;5999;715;;;12;;BACCALAUREATE_FULL_TIME;22;3;15;-0,887885218;0,460065038;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-1491
111;16.02.2022;0;10000;FULL_TIME;2500;27;0;0;287;1680;40;3120;;155;1500;149;;287;14;;BACCALAUREATE_FULL_TIME;22;3;61;-0,730835964;0,682553143;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1988
112;17.05.2022;0;16000;AUTONOMIC;2000;22;2;0,666666667;1065;1556;85;;;172;16662;;;62;62;;BACCALAUREATE_AUTONOMIC;21;3;16;-0,730835964;0,682553143;-0,909631995;0,415415013;-0,406736643;0,913545458;0;4948
113;24.01.2022;0;6500;FULL_TIME;0;36;0;0;1308;29777;77;;;0;29971;1023;;149;12;;BASIC_EDUCATION_FULL_TIME;30;1;21;-0,730835964;0,682553143;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3959
